Authors,PubYear,StudyYear,metaDuAggregate,metaDu,metaXu,retain,duplicate,CTA6hrs,firstpass,hospital,Country,Study type,total,Quality assessment,Quality assessment182526,Setting ,TP,FP,FN,TN,age,male,id,result_id,study_id,clinical,clinical,HE12,TPMORTSS,FPMORTSS,FNMORTSS,TNMORTSS,TPMORTH,FPMORTH,FNMORTH,TNMORTH,TPMOR30S,FPMOR30S,FNMOR30S,TNMOR30S,TPMOR30H,FPMOR30H,FNMOR30H,TNMOR30H,TPMOR3S,FPMOR3S,FNMOR3S,TNOMOR3S,TPMOR3H,FPMOR3H,FNMOR3H,TNMOR3H,TPPOS,FPPOS,FNPOS,TNPOS,TPPOH,FPPOH,FNPOH,TNPOH,TPGOS,FPGOS,FNGOS,TNGOS,TPGOH,FPGOH,FNGOH,TNGOH,TPMRSS,FPMRSS,FNMRSS,TNMRSS,TPMRSH,FPMRSH,FNMRSH,TNMRSH,TPMRS3S,FPMRS3S,FNMRS3S,TNMRS3S,TPMRS3H,FPMRS3H,FNMRS3H,TNMRS3H,TPMMRSS,FPMMRSS,FNMMRSS,TNMMRSS,TPMMRSH,FPMMRSH,FNMMRSH,TNMMRSH,TPMRSbadS,FPMRSbadS,FNMRSbadS,TNMRSbadS,TPMRSbadH,FPMRSbadH,FNMRSbadH,TNMRSbadH,TPMRSgS,FPMRSgS,FNMRSgS,TNMRSgs,TPMRSgH,FPMRSgH,FNMRSgH,TNMRSgH,TPdiss,FPdiss,FNdiss,TNdiss,TPdisH,FPdisH,FNdisH,TNdisH,TPNS,FPNS,FNNS,TNNS,TPNH,FPNH,FNNH,TNNH,TPdetS,FPdetS,FNdetS,TNdetS,TPdetH,FPdetH,FNdetH,TNdetH,TPevacs,FPevacs,FNevacs,TNevacs,TPevacH,FPevacH,FNevacH,TNevacH,TPexts,FPexts,FNexts,TNexts,TPextH,FPextH,FNextH,TNextH,TPHosps,FPHosps,FNHosps,TNHosps,TPHosph,FPHospH,FNHospH,TNHospH,,retain,duplicate,CTA6hrs,firstpass
Wada,2007,2004-2006,yes,yes,yes,no,no,yes,yes,Sunnybrook,Canada,Prospective,39,45,40,Single,10,3,1,25,64,26,21,1,21,1,yes,,3,10,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,4,22,,,,,19,,,,,,,,,no,no,yes,yes
Goldstein,2007,2002-2006,yes,yes,yes,no,yes,no,yes,MGH,US,Retro,104,41,36,Single,13,45,1,45,73,55,37,1,37,1,yes,,19,39,7,39,6,8,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,10,40,6,,,,,,,,,,,,,,no,yes,no,yes
Delgado Almand,2009,2000-2008,yes,no,yes,yes,yes,no,yes,MGH,US,Retro,367,43,40,Single,14,7,4,36,64,41,35,1,35,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,19,,,,,,,yes,yes,no,yes
Ederies,2009,2004-2008,yes,yes,yes,yes,no,yes,yes,Sunnybrook,Canada,Retro,61,44,37,Single,49,22,6,290,66,214,31,1,31,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Hallevi,2010,2007-2008,yes,no,no,no,no,yes,no,Texas Houston,US,Prospective,28,46,40,Single,7,10,1,41,61,35,36,1,36,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,14.7,,,,,,,no,no,yes,no
Park,2010,2007-2009,yes,yes,yes,yes,no,no,yes,Seoul Medical Center,Korea,Prospective,110,42,36,Single,10,9,6,85,62,69,15,1,15,0,no,,,,,,,,,,,,,,,,,,8,11,12,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,16,78,,,,,,,,,,,,,,,,,47,,37,,,,,,,yes,no,no,yes
Evans,2010,2004-2009,yes,yes,yes,yes,no,yes,yes,Sunnybrook,Canada,Retro,59,42,38,Single,11,0,4,12,56.8,,3,1,3,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Wang,2011,2007-2010,yes,yes,yes,yes,no,yes,yes,Harbin Medical University ,China,Retro,312,40,34,Single,23,7,9,100,55.8,95,11,1,11,1,yes,,6,24,4,105,,,,,,,,,,,,,8,22,8,101,,,,,27,3,76,33,25,7,47,60,,,,,7,25,60,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Li,2011,2007-2010,yes,yes,yes,yes,no,yes,yes,Tiantan,China,Prospective,139,45,39,Single,60,16,17,219,63.9,191,22,1,22,0,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Rodriguez-Luna,2011,2009-2010,yes,no,yes,yes,no,yes,yes,Barcelona,Spain,Prospective,133,40,37,Single,5,12,8,64,71.7,77,44,1,44,0,no,,,,,,,,,,,,,,,,,,6,11,10,62,,,,,4,13,11,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,yes
Brouwers,2012,2000-2010,yes,yes,yes,yes,yes,yes,yes,MGH,US,Retro,391,36,33,Single,33,41,38,279,71.9,214,26,1,26,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes
